property_id,url,source,scrape_date,posting_date,html_path,property_type,category,transaction_type,new_construction,price,price_per_sqm,vat,cadastral_income,street,house_number,postal_code,locality,province,region,latitude,longitude,bedrooms,bedroom_surfaces,livable_surface,living_room_surface,kitchen_surface,kitchen_equipment,bathrooms,showers,toilets,build_year,currently_leased,furnished,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,demarcated_flooding_area,flood_g_score,flood_p_score,availability,building_state,land_surface,ground_depth,terrain_width,number_of_floors,apartment_floor,maintenance_cost,co_ownership_charges,nearest_city,nearest_city_distance_km
rbv40102,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv40102,ImmoVlan,2026-06-15,2026-03-05,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv40102.html,flat,apartment,for-rent,0.0,955.0,13.26,,,Avenue Louise,,1000.0,Brussels,Brussels,Brussels,51.2037695,4.4112637,1.0,,72.0,,,,1.0,1.0,1.0,,0.0,1.0,,Double glass,,,0.0,169.0,D,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,,,,,,,,,,,4.0,,,Antwerp,1.84
rbv42400,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv42400,ImmoVlan,2026-06-15,2026-03-09,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv42400.html,flat,apartment,for-rent,0.0,770.0,14.81,,,Grand-Place,,1000.0,Brussels,Brussels,Brussels,51.2037695,4.4112637,1.0,,52.0,,,,1.0,1.0,1.0,,0.0,1.0,,Double glass,,,0.0,173.0,D,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,,,,,,,,,,,3.0,,,Antwerp,1.84
rbv60224,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60224,ImmoVlan,2026-06-15,2026-03-31,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv60224.html,flat,apartment,for-rent,0.0,1490.0,48.06,,,Boulevard du Régent,,1000.0,Brussels,Brussels,Brussels,50.8390923,4.362643,,,31.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,Brussels,1.23
rbv60216,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60216,ImmoVlan,2026-06-15,2026-03-31,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv60216.html,flat,apartment,for-rent,0.0,1600.0,55.17,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.8541333,4.3468775,,,29.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,Brussels,0.85
rbv60222,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60222,ImmoVlan,2026-06-15,2026-03-31,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv60222.html,flat,apartment,for-rent,0.0,2100.0,36.21,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.8541333,4.3468775,,,58.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,6.0,,,Brussels,0.85
rbv60205,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv60205,ImmoVlan,2026-06-15,2026-03-31,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv60205.html,flat,apartment,for-rent,0.0,1500.0,51.72,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.8541333,4.3468775,,,29.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,3.0,,,Brussels,0.85
rbv67654,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv67654,ImmoVlan,2026-06-15,2026-04-11,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv67654.html,flat,apartment,for-rent,0.0,2550.0,15.94,,,Place des Barricades,11,1000.0,Brussels,Brussels,Brussels,50.85093,4.367307,3.0,,160.0,40.0,,,2.0,,2.0,2014.0,0.0,1.0,Gas,,,,,112.0,C,1.0,2.0,,0.0,,,1.0,8.0,,1.0,,,,,,1.0,,,,,,Immediately,Normal,,,,,2.0,,,Brussels,1.31
rbv72611,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv72611,ImmoVlan,2026-06-15,2026-04-19,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv72611.html,flat,apartment,for-rent,0.0,1600.0,47.06,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,,34.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,Brussels,0.87
rbv72612,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv72612,ImmoVlan,2026-06-15,2026-04-19,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv72612.html,flat,apartment,for-rent,0.0,1650.0,51.56,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,,32.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,Brussels,0.87
rbv81073,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv81073,ImmoVlan,2026-06-15,2026-05-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv81073.html,flat,apartment,for-rent,0.0,1650.0,48.53,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,,34.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,Brussels,0.87
rbv81077,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv81077,ImmoVlan,2026-06-15,2026-05-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv81077.html,flat,apartment,for-rent,0.0,2150.0,33.59,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,,64.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,Brussels,0.87
rbv82223,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv82223,ImmoVlan,2026-06-15,2026-05-04,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbv82223.html,flat,apartment,for-rent,0.0,1650.0,50.0,,,Quai à la Houille,,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,,33.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,Brussels,0.87
